Taylor Swift,1989,Shake it Off,Pop,3:35,12,3
Disturbed,THE SICKNESS,Down With The Sickness,Hard Rock,4:39,8,4
Drake,NOTHING WAS THE SAME,Own It,Rap,3:23,3,3
Disturbed,ASYLUM,Asylum,Hard Rock,4:36,2,4
Drake,YOU WELCOME,The Motto,Rap,4:13,7,4
Christina Perri,HEAD OF HEART,Trust,Pop,2:35,3,5
Justin Bieber,PURPOSE,No Sense,Pop,4:12,6,1
Eminem,SHADYXV,Vegas,Rap,3:37,8,3
Adele,25,Remedy,Pop,4:11,24,4
Disturbed,INDESTRUCTIBLE,The Night,Hard Rock,4:46,7,3
Taylor Swift,RED,Stay Stay Stay,Pop,4:42,5,1
Garth Brooks,FRESH HORSES,The Old Stuff,Country,2:57,11,2
Nirvana,NEVERMIND,Come As You Are,Grunge,3:38,5,4
Eminem,8 MILE,Lose Yourself,Rap,5:24,12,5
Five Finger Death Punch,AMERICAN CAPITALIST,Under And Over It,Hard Rock,2:34,8,4
Disturbed,INDESTRUCTIBLE,Indestructible,Hard Rock,4:38,11,5
